id,SQ3,HQ2,SQ4,SQ5,SQ8,DQ1,DQ3,DQ3_1,DQ4,'brand_loyalty','cooking_convenience','health_orientation','hmr_preference','premium_orientation','price_sensitivity','variety_seeking',cluster,'brand_loyalty'_scaled,'cooking_convenience'_scaled,'health_orientation'_scaled,'hmr_preference'_scaled,'premium_orientation'_scaled,'price_sensitivity'_scaled,'variety_seeking'_scaled,cluster_scaled
4B043022,여자,50대,단순노무 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100-200만원 미만,0.16862662746745066,0.17064613585420527,0.07963918430381524,0.13402346445824706,0.10638727934240669,0.13599537037037038,0.19992003198720512,1,0.5395522388059701,0.5978955279969936,0.37050163576881134,0.8041136141038197,0.46872964169381115,0.3158625477264839,0.408695652173913,0.3333333333333333
3G103032,남자,30대,기능원 및 관련 기능 종사자,고졸(대학 재학 포함),울산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,300-400만원 미만,0.26480470390592187,0.18750609102426666,0.09648660980660559,0.14782608695652172,0.14378116156852175,0.14573688271604937,0.2483006797281088,1,0.8813432835820894,0.6629086809470124,0.5013631406761176,0.9020568070519097,0.6495114006514658,0.3509198195071155,0.5665217391304349,0.3333333333333333
3G103036,남자,30대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),울산광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.26291474170516593,0.19208654127278044,0.0951528552876347,0.15058661145617666,0.13663926694515563,0.14110725308641978,0.23723843795815008,0,0.8746268656716418,0.6805712138293873,0.4910032715376227,0.9216454456415277,0.6149837133550489,0.33425893786879557,0.5304347826086957,0.0
3B043005,여자,20대,전문가 및 관련 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.24695506089878203,0.1852645940941429,0.08995823242427434,0.13954451345755692,0.124242015900822,0.16734182098765432,0.22657603625216582,1,0.8179104477611939,0.6542653137918076,0.4506543075245365,0.8432908912830557,0.5550488599348535,0.4286706004859423,0.4956521739130435,0.3333333333333333
3G103040,여자,50대,서비스 종사자,고졸(대학 재학 포함),울산광역시,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.21587568248635028,0.23009453269661828,0.07437436383419326,0.14782608695652172,0.0900148228001617,0.14699074074074076,0.21897907503665204,2,0.7074626865671642,0.8271326568959038,0.32960741548527805,0.9020568070519097,0.38957654723127033,0.3554321416174939,0.47086956521739143,0.6666666666666666
3B043015,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),부산광역시,1세대가족,기혼,맞벌이 하지 않음,300-400만원 미만,0.2102057958840823,0.14823116655296756,0.09662700501912885,0.13402346445824706,0.12019943403853928,0.1705246913580247,0.19592163134746102,3,0.6873134328358208,0.5114618564449455,0.502453653217012,0.8041136141038197,0.5355048859934853,0.44012495661228734,0.3956521739130434,1.0
1A000848,여자,60대 이상,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,"1,000만원 이상",0.15392692146157078,0.24666211870188093,0.07602400758134148,0.13402346445824706,0.08213178816871042,0.13001543209876545,0.16526722644275624,0,0.4873134328358208,0.8910184141300262,0.3424209378407852,0.8041136141038197,0.35146579804560263,0.29434224227698724,0.29565217391304344,0.0
1A000851,여자,60대 이상,주부,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 하지 않음,700-800만원 미만,0.19214615707685848,0.25835688529383105,0.07921799866624547,0.15058661145617666,0.10362484840318018,0.1413966049382716,0.17592962814874052,3,0.6231343283582089,0.9361142427658775,0.3672300981461286,0.9216454456415277,0.45537459283387627,0.33530024297119054,0.33043478260869574,1.0
1A000555,여자,50대,판매 종사자,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.11171776564468712,0.1531039859662801,0.10543680460496296,0.15058661145617666,0.10861069936666216,0.20447530864197533,0.22431027588964417,2,0.3373134328358209,0.5302517850432169,0.5708833151581242,0.9216454456415277,0.47947882736156355,0.5623047552933009,0.4882608695652174,0.6666666666666666
4K185022,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),전라북도,2세대가족,기혼,맞벌이 함,400-500만원 미만,0.18773624527509453,0.12484163336906735,0.10427854410164615,0.1285024154589372,0.13118178143107398,0.1648341049382716,0.22830867652938827,2,0.6074626865671642,0.42127019917324315,0.5618865866957471,0.7649363369245838,0.588599348534202,0.41964595626518564,0.501304347826087,0.6666666666666666
