id,gender,age,job,education,region,household,marriage,income_status,income_month,cluster,brand_loyalty_scaled,cooking_convenience_scaled,health_orientation_scaled,hmr_preference_scaled,premium_orientation_scaled,price_sensitivity_scaled,variety_seeking_scaled,label,description
1,여자,50대,단순노무 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100-200만원 미만,3,0.5395522388059701,0.5978955279969934,0.3705016357688113,0.8041136141038193,0.4687296416938111,0.3158625477264835,0.4086956521739129,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
2,남자,30대,기능원 및 관련 기능 종사자,고졸(대학 재학 포함),울산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,300-400만원 미만,3,0.8813432835820895,0.6629086809470122,0.5013631406761172,0.9020568070519096,0.6495114006514657,0.3509198195071151,0.5665217391304348,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
3,남자,30대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),울산광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,3,0.8746268656716418,0.6805712138293873,0.4910032715376229,0.9216454456415274,0.614983713355049,0.3342589378687952,0.5304347826086953,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
4,여자,20대,전문가 및 관련 종사자,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,3,0.817910447761194,0.6542653137918076,0.4506543075245364,0.8432908912830556,0.5550488599348538,0.4286706004859422,0.4956521739130434,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
5,여자,50대,서비스 종사자,고졸(대학 재학 포함),울산광역시,1세대가족,기혼,맞벌이 함,500-600만원 미만,3,0.707462686567164,0.8271326568959034,0.3296074154852779,0.9020568070519096,0.3895765472312707,0.3554321416174937,0.4708695652173912,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
6,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),부산광역시,1세대가족,기혼,맞벌이 하지 않음,300-400만원 미만,3,0.687313432835821,0.5114618564449454,0.5024536532170119,0.8041136141038193,0.5355048859934852,0.4401249566122873,0.3956521739130433,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
7,여자,60대 이상,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,"1,000만원 이상",0,0.4873134328358208,0.8910184141300261,0.3424209378407848,0.8041136141038193,0.3514657980456029,0.2943422422769869,0.2956521739130433,실속형 미식가,편리성을 중시하면서도 새로운 맛과 제품을 시도하는 데 적극적인 소비자 그룹입니다. 가격에 민감하기보다는 효율성과 맛을 동시에 추구합니다.
8,여자,60대 이상,주부,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 하지 않음,700-800만원 미만,3,0.6231343283582089,0.9361142427658772,0.3672300981461283,0.9216454456415274,0.4553745928338763,0.3353002429711905,0.3304347826086955,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
9,여자,50대,판매 종사자,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 함,500-600만원 미만,1,0.337313432835821,0.5302517850432169,0.5708833151581238,0.9216454456415274,0.4794788273615635,0.5623047552933008,0.4882608695652172,건강 추구형 소비자,가격이나 브랜드에 크게 구애받지 않고 건강을 최우선으로 고려하는 프리미엄 소비자 그룹입니다. 건강과 편리성을 모두 만족시키는 제품에 기꺼이 지갑을 엽니다.
10,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),전라북도,2세대가족,기혼,맞벌이 함,400-500만원 미만,3,0.6074626865671644,0.421270199173243,0.561886586695747,0.7649363369245838,0.5885993485342018,0.4196459562651856,0.5013043478260867,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
11,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,800-900만원 미만,3,0.5037313432835822,0.7745208568207439,0.3347873500545258,0.8237022526934379,0.3814332247557005,0.4862894828184656,0.3130434782608693,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
12,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대구광역시,2세대가족,기혼,맞벌이 함,"1,000만원 이상",0,0.4179104477611941,0.8816234498308905,0.0444383860414397,0.8383937316356512,0.2322475570032573,0.4175633460603956,0.217391304347826,실속형 미식가,편리성을 중시하면서도 새로운 맛과 제품을 시도하는 데 적극적인 소비자 그룹입니다. 가격에 민감하기보다는 효율성과 맛을 동시에 추구합니다.
13,여자,50대,판매 종사자,고졸(대학 재학 포함),인천광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,1,0.2559701492537312,0.3836903419767003,0.8677753544165758,0.8237022526934379,0.5589576547231272,0.2690038181187085,0.1391304347826087,건강 추구형 소비자,가격이나 브랜드에 크게 구애받지 않고 건강을 최우선으로 고려하는 프리미엄 소비자 그룹입니다. 건강과 편리성을 모두 만족시키는 제품에 기꺼이 지갑을 엽니다.
14,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),광주광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,1,0.3492537313432834,0.5791055993987222,0.5591603053435117,0.8237022526934379,0.286970684039088,0.2290871225269002,0.3043478260869564,건강 추구형 소비자,가격이나 브랜드에 크게 구애받지 않고 건강을 최우선으로 고려하는 프리미엄 소비자 그룹입니다. 건강과 편리성을 모두 만족시키는 제품에 기꺼이 지갑을 엽니다.
15,여자,60대 이상,농림어업 숙련 종사자,중졸 이하,경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100만원 미만,0,0.3395522388059703,0.4889139421270199,0.4092148309705561,0.7845249755142015,0.3185667752442996,0.2148559527941685,0.5565217391304347,실속형 미식가,편리성을 중시하면서도 새로운 맛과 제품을 시도하는 데 적극적인 소비자 그룹입니다. 가격에 민감하기보다는 효율성과 맛을 동시에 추구합니다.
16,여자,50대,서비스 종사자,중졸 이하,전라북도,1인 가구,기혼,맞벌이 하지 않음,100-200만원 미만,1,0.398507462686567,0.46260804208944,0.630316248636859,0.8041136141038193,0.4198697068403912,0.3727872266574106,0.2826086956521738,건강 추구형 소비자,가격이나 브랜드에 크게 구애받지 않고 건강을 최우선으로 고려하는 프리미엄 소비자 그룹입니다. 건강과 편리성을 모두 만족시키는 제품에 기꺼이 지갑을 엽니다.
17,여자,50대,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,500-600만원 미만,3,0.3283582089552239,0.5189778278842537,0.5517993456924752,0.9608227228207636,0.5449511400651466,0.2960777507809788,0.5956521739130434,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
18,남자,20대,학생,고졸(대학 재학 포함),부산광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100-200만원 미만,3,0.7276119402985075,0.4099962420142803,0.3298800436205013,0.7845249755142015,0.4967426710097721,0.4300590072891355,0.4565217391304347,트렌드 주도형 소비자,"자신의 취향과 경험을 중시하는 소비자 그룹입니다. 단순히 배를 채우는 것 이상의 가치를 추구하며, 새로운 제품을 가장 먼저 경험하고 공유하려는 경향이 강합니다"
