상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원 자연산왕골뱅이 400g,골뱅이/수산통조림,통조림,안주/반찬,9980,5,1,400,1,400,249.5,003600747,https://www.dongwonmall.com/product/detail.do?productId=003600747,동원 자연산왕골뱅이,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
[동원] 동원 참치뱃살 깊은간장맛 135gx10캔,참치/연어통조림,통조림,반찬/주재료,32800,5,1,135,10,1350,242.96,003811264,https://www.dongwonmall.com/product/detail.do?productId=003811264,동원 참치뱃살 깊은간장맛,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
양반 대구곤이 지리탕 700g,한식,즉석조리식품,메인요리,15900,5,1,700,1,700,227.14,003842800,https://www.dongwonmall.com/product/detail.do?productId=003842800,양반 대구곤이 지리탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 을지로 골뱅이 & 구운아귀채 300g x 2캔 / 참치액소스,골뱅이/수산통조림,통조림,안주/반찬,13400,5,1,300,2,600,223.33,003600758,https://www.dongwonmall.com/product/detail.do?productId=003600758,동원 을지로 골뱅이 & 구운아귀채 참치액소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
동원 고추참치 90g x 5캔,참치/연어통조림,통조림,반찬/주재료,10020,5,1,90,5,450,222.67,003743879,https://www.dongwonmall.com/product/detail.do?productId=003743879,동원 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,false,false,true
동원 을지로 골뱅이 & 구운아귀채 300g x 3캔 / 참치액소스,골뱅이/수산통조림,통조림,안주/반찬,19800,4,1,300,3,900,220,003600759,https://www.dongwonmall.com/product/detail.do?productId=003600759,동원 을지로 골뱅이 & 구운아귀채 참치액소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
동원홈푸드 비비드키친 저당 잡채양념 240g,기타양념,양념,조미료,5280,5,1,240,1,240,220,003832648,https://www.dongwonmall.com/product/detail.do?productId=003832648,동원홈푸드 비비드키친 저당 잡채양념,소스/조미료,,확인필요,,,,,false,false,true
동원 을지로 골뱅이 & 구운아귀채 300g x 5캔 / 참치액소스,골뱅이/수산통조림,통조림,안주/반찬,32500,5,1,300,5,1500,216.67,003600760,https://www.dongwonmall.com/product/detail.do?productId=003600760,동원 을지로 골뱅이 & 구운아귀채 참치액소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
동원참치 루피는 참치마요 100g x 5캔,참치/연어통조림,통조림,반찬/주재료,9500,5,1,100,5,500,190,003569157,https://www.dongwonmall.com/product/detail.do?productId=003569157,동원참치 루피는 참치마요,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원 고추참치 90g x 10캔,참치/연어통조림,통조림,반찬/주재료,16500,5,1,90,10,900,183.33,003743881,https://www.dongwonmall.com/product/detail.do?productId=003743881,동원 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,false,false,true
[4%적립금] 동원 양반 영양닭죽 285g x 24개입 x 3박스,죽/스프,즉석조리식품,간편식사,116600,5,1,285,72,20520,56.82,003686419,https://www.dongwonmall.com/product/detail.do?productId=003686419,동원 양반 영양닭죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,false,false,true
동원 김치찌개용 꽁치 300g,고등어/꽁치통조림,통조림,반찬,5000,5,1,300,1,300,166.67,003568980,https://www.dongwonmall.com/product/detail.do?productId=003568980,동원 김치찌개용 꽁치,즉석국/탕,국/탕,"해물, 꽁치",전자레인지,식사대용,캔,,false,false,true
동원 참치다시 1kg,분말/액상조미료,조미료,조미료,15980,5,1,1000,1,1000,159.8,003747422,https://www.dongwonmall.com/product/detail.do?productId=003747422,동원 참치다시,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
동원 하루미 불닭로제맛 떡볶이양념 130g,기타양념,양념,조미료,1980,5,1,130,1,130,152.31,003766708,https://www.dongwonmall.com/product/detail.do?productId=003766708,동원 하루미 불닭로제맛 떡볶이양념,소스/조미료,,확인필요,,,,,false,false,true
[4%적립금] 동원 양반 나주식 곰탕 460g x 20개입 x 5박스,국/탕/찌개,즉석조리식품,간편식사,139000,5,1,460,100,46000,30.22,003686999,https://www.dongwonmall.com/product/detail.do?productId=003686999,동원 양반 나주식 곰탕 박스,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
[4%적립금] 동원 양반 밤단팥죽 285g x 24개입 x 3박스,죽/스프,즉석조리식품,간편식사,102300,5,1,285,72,20520,49.85,003686460,https://www.dongwonmall.com/product/detail.do?productId=003686460,동원 양반 밤단팥죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 리챔 프로틴 200g x 3캔,햄/닭가슴살,가공육,반찬/주재료,8900,5,1,200,3,600,148.33,003577856,https://www.dongwonmall.com/product/detail.do?productId=003577856,동원 리챔 프로틴,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,false,false,true
