상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원 양반 소고기 미역국 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,12000,4.9,101,460,3,1380,86.96,003566070,https://www.dongwonmall.com/product/detail.do?productId=003566070,동원 양반 소고기 미역국,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 고등어 400g x 6캔,고등어/꽁치통조림,통조림,반찬,13800,4.8,101,400,6,2400,57.5,000757358,https://www.dongwonmall.com/product/detail.do?productId=000757358,동원 고등어,,,확인필요,,,캔,,false,false,true
동원 양반 수라 부대찌개 460g (1~2인분),국/탕/찌개,즉석조리식품,간편식사,5500,4.8,100,460,1,460,119.57,001425335,https://www.dongwonmall.com/product/detail.do?productId=001425335,동원 양반 수라 부대찌개,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원 양반 단호박죽 285g x 12개,죽/스프,즉석조리식품,간편식사,19900,4.9,99,285,12,3420,58.19,001059629,https://www.dongwonmall.com/product/detail.do?productId=001059629,동원 양반 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,false,false,true
동원 양반 차돌 육개장 460g (1~2인분) x 5개,국/탕/찌개,즉석조리식품,간편식사,19300,4.9,98,460,5,2300,83.91,003566152,https://www.dongwonmall.com/product/detail.do?productId=003566152,동원 양반 차돌 육개장,,,확인필요,,,,,false,false,true
동원 양반 보양 삼계탕 900g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,28400,4.8,95,900,3,2700,105.19,001388735,https://www.dongwonmall.com/product/detail.do?productId=001388735,동원 양반 보양 삼계탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원참치 살코기 라이트스탠다드 100g x 5캔,참치/연어통조림,통조림,반찬/주재료,9500,4.9,92,100,5,500,190,000002617,https://www.dongwonmall.com/product/detail.do?productId=000002617,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,"다랑어, 카놀라유, 야채즙 (마일드)",즉석,반찬,캔,맛있다; 가성비; 배송; 빠름,false,false,true
동원 양반 수라 왕갈비탕 460g (1~2인분) x 3개,국/탕/찌개,즉석조리식품,간편식사,14600,4.8,92,460,3,1380,105.8,001421824,https://www.dongwonmall.com/product/detail.do?productId=001421824,동원 양반 수라 왕갈비탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,false,false,true
동원참치 고추참치 85g x 3캔,참치/연어통조림,통조림,반찬/주재료,6000,4.9,88,85,3,255,235.29,001478575,https://www.dongwonmall.com/product/detail.do?productId=001478575,동원참치 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,매콤하다; 맛있다; 간편,false,false,true
동원참치 스프레드 고소마요 100g x 10캔,참치/연어통조림,통조림,반찬/주재료,20000,5,83,100,10,1000,200,003569165,https://www.dongwonmall.com/product/detail.do?productId=003569165,동원참치 스프레드 고소마요,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
