상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원 화끈한골뱅이 140g x 3캔,골뱅이/수산통조림,통조림,안주/반찬,10800,5,3,140,3,420,257.14,001479785,https://www.dongwonmall.com/product/detail.do?productId=001479785,동원 화끈한골뱅이,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
동원참치 마이플랜트 레드고추 100g,참치/연어통조림,통조림,반찬/주재료,2500,5,3,100,1,100,250,003570195,https://www.dongwonmall.com/product/detail.do?productId=003570195,동원참치 마이플랜트 레드고추,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,false,false,true
동원 을지로 골뱅이 & 구운아귀채 300g / 참치액소스,골뱅이/수산통조림,통조림,안주/반찬,6980,5,3,300,1,300,232.67,003600757,https://www.dongwonmall.com/product/detail.do?productId=003600757,동원 을지로 골뱅이 & 구운아귀채 참치액소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
동원 을지로골뱅이 & 진미채 300g x 5캔 / 특제간장소스,골뱅이/수산통조림,통조림,안주/반찬,33400,5,3,300,5,1500,222.67,003600850,https://www.dongwonmall.com/product/detail.do?productId=003600850,동원 을지로골뱅이 & 진미채 특제간장소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
동원 을지로골뱅이 & 진미채 300g x 3캔 / 특제간장소스,골뱅이/수산통조림,통조림,안주/반찬,19800,5,3,300,3,900,220,003600849,https://www.dongwonmall.com/product/detail.do?productId=003600849,동원 을지로골뱅이 & 진미채 특제간장소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,false,false,true
동원홈푸드 비비드키친 저당 불고기양념 240g,고기/찌개양념,양념,조미료,5280,5,3,240,1,240,220,003832663,https://www.dongwonmall.com/product/detail.do?productId=003832663,동원홈푸드 비비드키친 저당 불고기양념,소스/조미료,,확인필요,,,,,false,false,true
동원홈푸드 비비드키친 저당 불고기양념 240g,기타양념,양념,조미료,5280,5,3,240,1,240,220,003832663,https://www.dongwonmall.com/product/detail.do?productId=003832663,동원홈푸드 비비드키친 저당 불고기양념,소스/조미료,,확인필요,,,,,false,false,true
동원홈푸드 비비드키친 저당 볶음고추장 300g,간장/고추장/된장/쌈장,장류,조미료,6500,5,3,300,1,300,216.67,003682314,https://www.dongwonmall.com/product/detail.do?productId=003682314,동원홈푸드 비비드키친 저당 볶음고추장,,,스파이시(고추소스),,,,,false,false,true
동원 리챔 순살꼬꼬 200g / 닭가슴살햄,햄/닭가슴살,가공육,반찬/주재료,4280,4.7,3,200,1,200,214,003688540,https://www.dongwonmall.com/product/detail.do?productId=003688540,동원 리챔 순살꼬꼬 닭가슴살햄,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,false,false,true
동원참치 살코기 라이트스탠다드 90g,참치/연어통조림,통조림,반찬/주재료,1900,5,3,90,1,90,211.11,003744168,https://www.dongwonmall.com/product/detail.do?productId=003744168,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,false,false,true
